title,author,book_description,
해리 포터와 마법사의 돌,J.K. 롤링,해리 포터'라는 어린 마법사가 '볼드모트'라는 강력하고 사악한 어둠의 마법사에 맞서 싸우는 7년간의 과정을 그린 대서사시입니다.,
작은 아씨들,루이자 메이 올컷,네 자매는 미국 내전이 진행되는 동안 아버지가 전쟁에 참가하게 되어 아버지 없이 크리스마스를 맞게 된다. 이후 자매들은 가난 속에서 살다 돈을 벌기 위해 일을 한다. 그렇게 아버지가 돌아올 때까지 여러 어려움과 일들을 겪지만 잘 헤쳐나가는 성장 이야기이다.,
데미안,헤르만 헤세,"라틴어 학교에 다니는 소년 '싱클레어'는 부모님이 만들어 준 밝고 선한 '낮의 세계'에 속해있었다. 하지만 어두운 하층민의 세계에 발을 들이며 거짓말과 죄의식에 시달리게 된다. 이때 신비로운 친구 '데미안'이 나타나, 싱클레어에게 '카인'의 표시에 대한 새로운 해석을 들려주며 고정관념을 깨뜨린다. '새는 알에서 나오려고 투쟁한다'는 유명한 구절처럼, 싱클레어가 기존의 세계를 깨고 고통스러운 방황과 고뇌를 거쳐 진정한 '자아'를 찾아가는 과정을 그린 내면적 성장 소설이다",
노르웨이의 숲,무라카미 하루키,청춘의 상실과 외로움을 섬세하게 그린 감성적인 소설.,
1984,조지 오웰,"소설 속 국가는 기록을 조작하고, 개인의 일거수 일투족을 감시하며, 언어와 사고를 통제하여 영구적인 집권을 기획한다. 소설은 이러한 세계관을 바탕으로 기록조작을 담당하던 주인공이 전체주의와 갈등하는 이야기를 다룬다.",
연을 쫓는 아이,할레드 호세이니,"『연을 쫓는 아이』는 부유한 상인의 아들 아미르와 비극적인 숙명을 지닌 그의 하인 하산의 이야기를 그린 성장소설로, 주인공 아미르가 어린 시절의 과오를 직시하고 속죄하며 치유와 구원에 이르는 과정을 감동적으로 펼쳐 보인다.",
죽은 시인의 사회,N.H. 클라인바움,"1959년을 배경으로 보수적인 남자사립학교인 웰튼 아카데미(Welton Academy)에 국어 선생님이 부임하는데, 시와 문학을 가르치면서 틀에 박힌 삶을 강요받는 학생들에게 영감을 준다는 이야기이다.",
채식주의자,한강,"평범한 주부 영혜가 어느 날 갑자기 채식을 결심하며 내면의 억압과 폭력, 가족과 사회와의 갈등을 겪는 과정을 통해 인간 욕망과 정체성을 탐구한 소설.",
82년생 김지영,조남주,"1982년에 태어난 '김지영' 씨는 어느 날 갑자기 자신의 어머니나 할머니, 다른 사람으로 빙의해 말하는 이상 증세를 보인다. 소설은 그녀의 유년 시절부터 학창 시절, 직장 생활, 그리고 결혼 후 육아로 인한 경력 단절에 이르기까지의 삶을 따라간다. 남아 선호 사상, 학교나 직장 내의 성차별과 성희롱, '맘충'이라는 사회적 비난 등 한국 사회에서 여성이기에 겪어야 했던 구조적인 불평등과 좌절을 통계 자료와 함께 덤덤하게 서술한다. 한 개인의 삶을 통해 여성의 보편적인 일상을 드러낸 사회 고발 소설이다.",
눈먼 자들의 도시,주제 사라마구,"《눈먼 자들의 도시》는 이름 붙여지지 않은 한 도시의 주민 거의 모두가 설명할 수 없는 집단적 실명에 걸리게 되고, 그에 따라서 빠른 속도로 붕괴되는 사회의 모습을 묘사한 소설이다.",
살인자의 기억법,김영하,"알츠하이머를 앓는 연쇄살인범이 자신의 과거와 현재를 기록하며 기억과 정체성, 인간 내면의 어둠을 긴장감 있게 그린 심리 스릴러.",
위대한 개츠비,F. 스콧 피츠제럴드,"1920년대 미국을 배경으로, 부와 사랑, 욕망을 좇는 개츠비의 삶을 통해 미국적 꿈과 허무를 보여주는 현대 고전 소설.",
동물농장,조지 오웰,한 농장의 동물들이 인간에 맞서 혁명을 일으키지만 권력의 부패와 독재로 이어지는 과정을 통해 정치와 권력의 위험성을 풍자한 우화.,
나미야 잡화점의 기적,히가시노 게이고,"과거와 현재가 교차하는 작은 잡화점을 배경으로, 고민 상담을 통해 사람들의 상처와 희망, 인간적 연대를 따뜻하게 그린 이야기.",
모모,미하엘 엔데,"시간을 훔치는 회색 신사들과 맞서며, 아이 모모가 사람들에게 잃어버린 삶의 소중함과 진정한 행복을 되찾아주는 이야기. 삶과 시간의 가치를 철학적으로 탐구한다.",
호밀밭의 파수꾼,J.D. 샐린저,"십대 소년 홀든 콜필드의 방황과 소외감을 통해 성장, 사회적 부조리, 인간관계의 어려움을 진솔하게 그린 성장소설.",
오만과 편견,제인 오스틴,"영국 귀족 사회를 배경으로, 엘리자베스 베넷과 피츠윌리엄 다아시의 오해와 편견을 극복하며 진정한 사랑을 찾아가는 이야기.",
데미지,조지 밧셀,"불륜과 사랑의 파괴적 힘을 통해 인간 욕망과 죄책감, 관계의 복잡성을 탐구하는 심리적 드라마 소설.",
